Day,Urea,Cell,Coat,Cell Seeding,Co-Cell Seeding
3,17.839,8,-1,4,-1
3,0.025,8.13,-1,0.1,0.3
3,13.026,4,11,0.08,-1
3,103.125,10,1,0.1,-1
3,323.264,10,1,0.25,-1
3,54.545,8,1,0.18,-1
3,845.865,10,1.13,0.1,-1
3,1108.083,10,1,0.1,-1
3,888.158,10.23,1.13,0.1,0.4
3,1133.459,10.23,1,0.1,0.4
3,211.221,8,1,0.2,-1
3,3.58,10,-1,0.1,-1
3,30.53,8,-1,1,-1
3,57.598,8,4.1,2.75,-1
3,55.147,8,4.105,2.75,-1
3,58.252,1.26,4.1,2.75,0.8
3,43.689,1.26,4.105,2.75,0.8
3,,8,1.3,1,-1
3,,5,-1,7.5,-1
3,,6,1,0.3,-1
3,,9,-1,1,-1
3,,10,2,0.8,-1
3,,4,-1,2,-1
3,,16,-1,2,-1
3,,10,1,8,-1
3,,10,-1,0.75,-1
3,,1,1,0.8,-1
3,,6,1,0.72,-1
3,,19,1,0.02,-1
3,,8,1,0.2,-1
3,,4,-1,0.2,-1
3,,10,-1,0.1,-1
