ref,"Culture serum(FBS=0,horse =1)","Stretching direction(Radial=0,Uniaxial=1)","Cyclic or static stretching(Cyclic=0,static=1)",Continuous(0) or intermittent(1),"Amplitude (%) (3%=0,8%-9%, 10%=1,15%=2,20%=3)",Effective stretching duration (h),,Increased (1) or inhibited (0) differentiation,hello or not
55,0,0,0,0,3,24,,0,2
58,1,0,1,0,1,12,,1,3
61,0,0,0,0,2,48,,1,4
44,1,0,1,0,1,72,,1,5
45,0,0,1,0,1,6,,1,6
60,1,0,0,0,2,24,,1,7
46,1,0,0,0,0,24,,1,8
66,1,0,0,1,1,96,,1,9
52,1,0,0,1,1,120,,0,10
50,0,0,0,0,2,12,,1,11
53,1,1,0,1,0,144,,0,12
54,0,0,0,1,2,120,,0,13
69,1,0,0,0,2,2,,1,14
47,0,0,1,0,1,3,,1,15
48,0,1,0,0,1,24,,1,16
67,0,1,0,0,1,1,,1,17
49,0,1,0,0,2,24,,1,18
55,0,0,0,0,3,24,,0,19
58,1,0,1,0,1,12,,1,20
61,0,0,0,0,2,48,,1,21
44,1,0,1,0,1,72,,1,22
45,0,0,1,0,1,6,,1,23
